Gene	Marker_Group
POU5F1	Pluripotency
EPCAM	Pluripotency
IDO1	Primed_Stem_Cell
CDH1	Pluripotency_Maintenance
IRX2	Pluripotency_Maintenance
PLPP1	Pluripotency_Maintenance
USP9X	Pluripotency_Maintenance
PRAC1	Stem_Cell_Self_Renewal
OTX2	Neuronal_Development/Stem
FEZ1	Neuronal_Development/Stem
LIX1	Neuronal_Development/Stem
DPYSL5	Neuronal_Development/Stem
EFNB2	Neuronal_Development/Stem
FEZF1	Neuronal_Development/Stem
LHX5-AS1	Neuronal_Development/Stem
EPHA4	Neuronal_Development/Stem
PTN	Neuronal_Development/Stem
ENC1	Neuronal_Development/Stem
COL4A1	Epidermal_Ectoderm
ITGA1	Epidermal_Ectoderm
COL5A1	Epidermal_Ectoderm
LIMCH1	Epidermal_Ectoderm
FN1	Epidermal_Ectoderm
COL11A1	Epidermal_Ectoderm
COL5A2	Epidermal_Ectoderm
PALLD	Epidermal_Ectoderm
